obj_block_id,face_count,non_empty
0,3960,1
1,7108,1
2,6860,1
3,9116,1
4,260,1
5,120,1
6,1580,1
7,80,1
8,20,1
9,28,1
10,24,1
11,200,1
12,60,1
13,420,1
14,1810,1
15,3012,1
16,1524,1
17,5120,1
18,3328,1
19,61824,1
20,6332,1
