image_id,image_name,intersection,union,IoU,precision,recall,split
60,frame_0060.png,518410,2027022,0.255749567592261,0.5320201392010411,0.3299843285928706,discovery
62,frame_0062.png,417170,1839116,0.22683180397538819,0.5578041367654394,0.27656328829022936,discovery
63,frame_0063.png,433795,1871767,0.23175694410682526,0.6922952933591231,0.2583715614089215,discovery
64,frame_0064.png,775295,1889283,0.4103646727356357,0.5777763701131265,0.5861377859831045,discovery
66,frame_0066.png,643863,1857919,0.3465506300328486,0.4667412355036586,0.5737015903112904,discovery
67,frame_0067.png,366455,1802695,0.20328175315291827,0.577444592390662,0.2388052406755141,discovery
68,frame_0068.png,400522,1749316,0.22895920462626534,0.49574217376881985,0.29847069186251873,discovery
70,frame_0070.png,557511,1866722,0.29865775407371853,0.4636223701903766,0.4563321279309041,discovery
71,frame_0071.png,878114,1898484,0.46253431685492213,0.5496904480209331,0.7447147383490172,discovery
72,frame_0072.png,542150,1852544,0.2926516185310578,0.5852305785810897,0.36923477174732533,discovery
74,frame_0074.png,733777,1857133,0.3951127894448055,0.6720923629302606,0.48946855843055637,discovery
75,frame_0075.png,500632,2145311,0.2333610371643086,0.4148501215633696,0.347862823234306,discovery
76,frame_0076.png,408448,1690050,0.24167805686222302,0.48805283351635154,0.32375268011778646,discovery
78,frame_0078.png,581511,1985308,0.29290719626375356,0.7658837195825453,0.32171208447230537,discovery
79,frame_0079.png,365195,1803465,0.2024963057225951,0.415195782499008,0.2832974035111672,discovery
80,frame_0080.png,426962,1938126,0.2202963068448594,0.6039023769280274,0.25750339397967414,discovery
82,frame_0082.png,388289,1707812,0.2273605057231124,0.5002924790368549,0.2941634589087537,discovery
83,frame_0083.png,410771,1860154,0.2208263401847374,0.703746153793439,0.24345837237654788,discovery
84,frame_0084.png,467858,1797191,0.26032736642905513,0.5322550002218402,0.3375506299250093,discovery
86,frame_0086.png,367226,1725681,0.21280062769422622,0.425279156543068,0.29870027403321747,discovery
87,frame_0087.png,682396,1649842,0.41361293990576065,0.9055292812518246,0.4322655433439965,discovery
88,frame_0088.png,465457,1810420,0.25709890522641154,0.6526052642278988,0.2978642662966964,discovery
90,frame_0090.png,494719,1925646,0.2569106679005383,0.4216216170148938,0.39672957265999087,discovery
91,frame_0091.png,552976,1808131,0.3058273985679135,0.5804955526651991,0.39259531676646453,discovery
92,frame_0092.png,487017,1798300,0.2708207751765556,0.8298606496201859,0.286741860671871,discovery
94,frame_0094.png,447161,1816688,0.2461407792642435,0.649513766331859,0.2838407407924621,discovery
95,frame_0095.png,353100,1830720,0.19287493445201886,0.4490429700167485,0.2526689092731851,discovery
96,frame_0096.png,446604,1816968,0.24579629360561112,0.4473923052418361,0.3529534494449687,discovery
98,frame_0098.png,448662,1790746,0.2505447450392183,0.5291998697824518,0.32240822767527355,discovery
99,frame_0099.png,507372,1924989,0.26357137625202015,0.4491325350478148,0.3894802293715312,discovery
100,frame_0100.png,737390,1893080,0.3895186679907875,0.8152820467461248,0.4272223220027694,discovery
102,frame_0102.png,422707,1834475,0.2304239632592431,0.5683203299887198,0.2793096863418041,discovery
103,frame_0103.png,419961,1820980,0.23062362024843766,0.5833293978092557,0.27610793667073635,discovery
104,frame_0104.png,408892,1815259,0.22525270498590008,0.5839345592057534,0.26831680244633066,discovery
106,frame_0106.png,388103,1817085,0.21358549545013028,0.5735314545803839,0.25391135611561155,discovery
107,frame_0107.png,383340,1819728,0.2106578565587824,0.5693771518368778,0.25058079259723126,discovery
108,frame_0108.png,377551,1805728,0.2090851999858229,0.576889343886563,0.2469559836710559,discovery
110,frame_0110.png,371103,1811884,0.20481609197939823,0.5596258333622368,0.24416919979471793,discovery
111,frame_0111.png,369087,1808005,0.2041404752752343,0.5559577390958552,0.2439089991118254,discovery
112,frame_0112.png,366909,1813729,0.20229538150407256,0.5502749057401758,0.24236589284110066,discovery
114,frame_0114.png,363968,1833300,0.19853160966563027,0.5250601203416653,0.24198793278260725,discovery
115,frame_0115.png,362104,1836591,0.19716093566831155,0.5141587328633398,0.2423024163058825,discovery
116,frame_0116.png,359618,1836167,0.19585255589497033,0.5048836200421464,0.2424108834072798,discovery
118,frame_0118.png,360932,1823248,0.19796100146551648,0.49558693491072264,0.2479119272911103,discovery
119,frame_0119.png,364490,1819021,0.20037701598827062,0.4985439927562101,0.2509566910538542,discovery
120,frame_0120.png,377326,1820056,0.20731559908046784,0.5101978452285658,0.2588300016325814,discovery
122,frame_0122.png,419636,1826843,0.22970556309436552,0.541547562664299,0.28515706756473924,discovery
123,frame_0123.png,445662,1831683,0.24330738452013803,0.5592305375696431,0.3010365266730837,discovery
124,frame_0124.png,468308,1837166,0.25490783086558316,0.5751000544020867,0.31405469675764014,discovery
126,frame_0126.png,526754,1831388,0.2876255605038364,0.6121473279550774,0.3517227103976924,discovery
127,frame_0127.png,562306,1824490,0.30819900355715846,0.6309636821045214,0.3759710084848323,discovery
128,frame_0128.png,598293,1819374,0.3288455259886093,0.6468668809580186,0.4007970481484608,discovery
